,WSbin,GP
0,3.0,99.6472823358885
1,3.5,168.0238528663239
2,4.0,287.7374460823274
3,4.5,425.2735227669076
4,5.0,573.0259158945379
5,5.5,731.3456363357543
6,6.0,955.1481520165615
7,6.5,1234.9344220097573
8,7.0,1553.1640704857903
9,7.5,1882.1422091723493
10,8.0,2247.0188455567977
11,8.5,2668.466573549976
12,9.0,3104.253643654066
13,9.5,3232.056528121739
14,10.0,3232.128640045455
15,10.5,3221.6529018571428
16,11.0,3239.34002675
17,11.5,3248.980062
18,12.0,3232.799967333334
19,12.5,3247.294043
20,13.0,3230.2566733333333
21,13.5,3236.72998
22,14.0,3227.585083
23,15.0,3239.3899739999997
24,15.5,3250.949951
25,17.5,3313.22998
26,18.0,3223.27002
