,WSbin,GP
0,3.0,97.50835426067616
1,3.5,160.38620157365378
2,4.0,280.1213652679103
3,4.5,404.705727035322
4,5.0,538.2947980849793
5,5.5,691.9839617485522
6,6.0,887.4285057707663
7,6.5,1131.8028321718573
8,7.0,1412.689617217119
9,7.5,1771.192711336348
10,8.0,2132.040785051961
11,8.5,2589.7768084413283
12,9.0,3129.939040441999
13,9.5,3237.61856949144
14,10.0,3238.036196199135
15,10.5,3238.9898989494955
16,11.0,3238.7502894999993
17,11.5,3238.8020927674415
18,12.0,3238.536254875
19,12.5,3235.6661241111115
20,13.0,3233.2480225
21,13.5,3237.9800292
22,14.0,3242.886637333333
23,14.5,3243.9849855
24,15.0,3242.280029
25,15.5,3241.659912
26,16.0,3234.070068
27,16.5,3237.189941
