,WSbin,GP
0,3.0,86.97774584088397
1,3.5,154.05143089915535
2,4.0,281.7947597757105
3,4.5,434.06978202476415
4,5.0,589.1576181535237
5,5.5,760.4922666225509
6,6.0,963.960584402301
7,6.5,1205.2770807734755
8,7.0,1479.2150082124804
9,7.5,1780.178232379087
10,8.0,2101.3244667239424
11,8.5,2571.609900587801
12,9.0,3170.253109896959
13,9.5,3237.586799970067
14,10.0,3238.7311167609046
15,10.5,3239.318642816384
16,11.0,3238.6724345670104
17,11.5,3238.18530370751
18,12.0,3238.247981918455
19,12.5,3237.6250572135414
20,13.0,3238.4092705182934
21,13.5,3236.668225494253
22,14.0,3238.0496916728393
23,14.5,3237.301956040268
24,15.0,3237.6245176451616
25,15.5,3234.9508875443034
26,16.0,3235.503450846154
27,16.5,3237.0473633157894
28,17.0,3234.214996375
29,17.5,3234.5417073333333
30,18.0,
